,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
149,-0.7184,Fri Mar 23 10:30:10 +0000 2018,0.739,0.261,0.0,50,@CBSNews
150,0.6908,Fri Mar 23 10:30:10 +0000 2018,0.508,0.102,0.391,49,@CBSNews
151,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,48,@CBSNews
152,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,47,@CBSNews
153,-0.2617,Fri Mar 23 10:30:10 +0000 2018,0.898,0.102,0.0,46,@CBSNews
154,-0.1272,Fri Mar 23 10:30:10 +0000 2018,0.93,0.07,0.0,45,@CBSNews
155,-0.7774,Fri Mar 23 10:30:10 +0000 2018,0.715,0.285,0.0,44,@CBSNews
156,0.0258,Fri Mar 23 10:30:10 +0000 2018,0.948,0.0,0.052,43,@CBSNews
157,0.3612,Fri Mar 23 10:30:10 +0000 2018,0.898,0.0,0.102,42,@CBSNews
158,0.3612,Fri Mar 23 10:30:10 +0000 2018,0.829,0.0,0.171,41,@CBSNews
159,0.4404,Fri Mar 23 10:30:10 +0000 2018,0.868,0.0,0.132,40,@CBSNews
160,-0.4357,Fri Mar 23 10:30:10 +0000 2018,0.88,0.12,0.0,39,@CBSNews
161,0.0085,Fri Mar 23 10:30:10 +0000 2018,0.701,0.149,0.15,38,@CBSNews
162,-0.5267,Fri Mar 23 10:30:10 +0000 2018,0.848,0.152,0.0,37,@CBSNews
163,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,36,@CBSNews
164,-0.7003,Fri Mar 23 10:30:10 +0000 2018,0.756,0.244,0.0,35,@CBSNews
165,0.4215,Fri Mar 23 10:30:10 +0000 2018,0.833,0.0,0.167,34,@CBSNews
166,-0.4588,Fri Mar 23 10:30:10 +0000 2018,0.789,0.211,0.0,33,@CBSNews
167,-0.6808,Fri Mar 23 10:30:10 +0000 2018,0.606,0.303,0.091,32,@CBSNews
168,-0.2263,Fri Mar 23 10:30:10 +0000 2018,0.881,0.119,0.0,31,@CBSNews
169,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,30,@CBSNews
170,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,29,@CBSNews
171,-0.1027,Fri Mar 23 10:30:10 +0000 2018,0.928,0.072,0.0,28,@CBSNews
172,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,27,@CBSNews
173,-0.6597,Fri Mar 23 10:30:10 +0000 2018,0.63,0.248,0.122,26,@CBSNews
174,-0.4215,Fri Mar 23 10:30:10 +0000 2018,0.859,0.141,0.0,25,@CBSNews
175,-0.4404,Fri Mar 23 10:30:10 +0000 2018,0.83,0.17,0.0,24,@CBSNews
176,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,23,@CBSNews
177,-0.6486,Fri Mar 23 10:30:10 +0000 2018,0.815,0.185,0.0,22,@CBSNews
178,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,21,@CBSNews
179,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,20,@CBSNews
180,-0.6705,Fri Mar 23 10:30:10 +0000 2018,0.809,0.191,0.0,19,@CBSNews
181,-0.8316,Fri Mar 23 10:30:10 +0000 2018,0.614,0.386,0.0,18,@CBSNews
182,-0.3182,Fri Mar 23 10:30:10 +0000 2018,0.897,0.103,0.0,17,@CBSNews
183,-0.6705,Fri Mar 23 10:30:10 +0000 2018,0.83,0.17,0.0,16,@CBSNews
184,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,15,@CBSNews
185,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,14,@CBSNews
186,0.5023,Fri Mar 23 10:30:10 +0000 2018,0.86,0.0,0.14,13,@CBSNews
187,-0.296,Fri Mar 23 10:30:10 +0000 2018,0.891,0.109,0.0,12,@CBSNews
188,0.2617,Fri Mar 23 10:30:10 +0000 2018,0.915,0.0,0.085,11,@CBSNews
189,-0.6597,Fri Mar 23 10:30:10 +0000 2018,0.759,0.241,0.0,10,@CBSNews
190,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.881,0.0,0.119,9,@CBSNews
191,0.0972,Fri Mar 23 10:30:10 +0000 2018,0.77,0.107,0.123,8,@CBSNews
192,-0.34,Fri Mar 23 10:30:10 +0000 2018,0.882,0.118,0.0,7,@CBSNews
193,-0.3384,Fri Mar 23 10:30:10 +0000 2018,0.748,0.149,0.102,6,@CBSNews
194,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,5,@CBSNews
195,0.34,Fri Mar 23 10:30:10 +0000 2018,0.862,0.0,0.138,4,@CBSNews
196,-0.872,Fri Mar 23 10:30:10 +0000 2018,0.618,0.382,0.0,3,@CBSNews
